file,runner_id,session_id,age,sex,reported_rpe
clean_D_231001_runTEST__1_98_LPM_2025_10_06_10_05_34_T1_1.parquet,231001,1,23,male,2
clean_D_231001_runTEST__1_126_LPM_2025_10_06_10_04_34_T1_1.parquet,231001,1,23,male,2
clean_D_231001_runTEST__1_127.0_LPM_2025_10_06_10_01_53_T1_1.parquet,231001,1,23,male,2
clean_D_231001_runTEST__1_131.0_LPM_2025_10_06_10_08_19_T1_1.parquet,231001,1,23,male,2
clean_D_231001_runTEST__1_134.0_LPM_2025_10_06_10_12_57_T2_1.parquet,231001,1,23,male,3
clean_D_231001_runTEST__1_137_LPM_2025_10_06_10_10_12_T1_1.parquet, 231001,1,23,male,2
clean_D_231001_runTEST__1_140.0_LPM_2025_10_06_10_19_41_T3_1.parquet,231001,1,23,male,4
clean_D_231001_runTEST__1_140.0_LPM_2025_10_08_18_22_14_T1_1.parquet,231001,2,23,male,2
clean_D_231001_runTEST__1_141_LPM_2025_10_06_10_16_44_T2_1.parquet,231001,1,23,male,3
clean_D_231001_runTEST__1_142.0_LPM_2025_10_06_10_29_16_T4_1.parquet,231001,1,23,male,5 
clean_D_231001_runTEST__1_145_LPM_2025_10_06_10_37_57_T4_1.parquet,231001,1,23,male,5 
clean_D_231001_runTEST__1_148_LPM_2025_10_06_10_25_32_T3_1.parquet,231001,1,23,male,4
clean_D_231001_runTEST__1_150_LPM_2025_10_08_18_24_06_T1_1.parquet,231001,2,23,male,2
clean_D_231001_runTEST__1_150.0_LPM_2025_10_08_18_27_07_T2_1.parquet,231001,2,23,male,4
clean_D_231001_runTEST__1_157.0_LPM_2025_10_10_18_27_55_T1_1.parquet,231001,3,23,male,3 
clean_D_231001_runTEST__1_161_LPM_2025_10_10_18_29_44_T1_1.parquet,231001,3,23,male,3
clean_D_231001_runTEST__1_161.0_LPM_2025_10_08_18_42_31_T4_1.parquet,231001,2,23,male,6 
clean_D_231001_runTEST__1_162.0_LPM_2025_10_24_12_52_19_T1_1.parquet,231001,4,23,male,3
