,nan_fraction
estimated_rpe,1.0
FC_max,0.007135799758480624
FC_median,0.007135799758480624
FC_min,0.007135799758480624
FC_std,0.007135799758480624
FC_mean,0.007135799758480624
Fatigue_nan_frac,0.0037325721813590952
Fatigue_std,0.0037325721813590952
Fatigue_mean,0.0037325721813590952
reported_rpe,0.0
AccX_centered_mean,0.0
AccX_centered_std,0.0
AccX_centered_mad,0.0
AccX_centered_min,0.0
AccX_centered_p25,0.0
AccX_centered_median,0.0
AccX_centered_p75,0.0
AccX_centered_max,0.0
AccX_centered_iqr,0.0
AccX_centered_rms,0.0
AccX_centered_skew,0.0
AccX_centered_kurt,0.0
AccX_centered_nan_frac,0.0
AccY_centered_mean,0.0
AccY_centered_std,0.0
AccY_centered_mad,0.0
AccY_centered_min,0.0
AccY_centered_p25,0.0
AccY_centered_median,0.0
AccY_centered_p75,0.0
AccY_centered_max,0.0
AccY_centered_iqr,0.0
AccY_centered_rms,0.0
AccY_centered_skew,0.0
AccY_centered_kurt,0.0
AccY_centered_nan_frac,0.0
AccZ_centered_mean,0.0
AccZ_centered_std,0.0
AccZ_centered_mad,0.0
AccZ_centered_min,0.0
AccZ_centered_p25,0.0
AccZ_centered_median,0.0
AccZ_centered_p75,0.0
AccZ_centered_max,0.0
AccZ_centered_iqr,0.0
AccZ_centered_rms,0.0
AccZ_centered_skew,0.0
AccZ_centered_kurt,0.0
AccZ_centered_nan_frac,0.0
Acc_mag_mean,0.0
Acc_mag_std,0.0
Acc_mag_mad,0.0
Acc_mag_min,0.0
Acc_mag_median,0.0
Acc_mag_max,0.0
Acc_mag_iqr,0.0
Acc_mag_rms,0.0
Acc_mag_skew,0.0
Acc_mag_kurt,0.0
Acc_mag_nan_frac,0.0
Acc_mean,0.0
Acc_std,0.0
Vtr_mean,0.0
Vtr_std,0.0
Vtr_mad,0.0
Vtr_min,0.0
Vtr_p25,0.0
Vtr_median,0.0
Vtr_p75,0.0
Vtr_max,0.0
Vtr_iqr,0.0
Vtr_rms,0.0
Vtr_skew,0.0
Vtr_kurt,0.0
Vtr_nan_frac,0.0
jerk_mean,0.0
jerk_std,0.0
jerk_mad,0.0
jerk_min,0.0
jerk_p25,0.0
jerk_median,0.0
jerk_p75,0.0
jerk_max,0.0
jerk_iqr,0.0
jerk_rms,0.0
jerk_skew,0.0
jerk_kurt,0.0
jerk_nan_frac,0.0
n_samples,0.0
duration,0.0
end_s,0.0
start_s,0.0
session_id,0.0
FC_nan_frac,0.0
SpO2_mean,0.0
SpO2_std,0.0
SpO2_min,0.0
SpO2_median,0.0
SpO2_max,0.0
SpO2_nan_frac,0.0
runner_id,0.0
source_file,0.0
file,0.0
Fatigue_Score_window,0.0
Fatigue_Score,0.0
Fatigue_component_norm_fc_window,0.0
Fatigue_component_norm_fc,0.0
Fatigue_component_norm_spo2_window,0.0
Fatigue_component_norm_spo2,0.0
Fatigue_component_norm_acc_window,0.0
Fatigue_component_norm_acc,0.0
Fatigue_component_norm_jerk_window,0.0
Fatigue_component_norm_jerk,0.0
